ナンバー,施設名,所在地,緯度,経度
376,桜井の里医務室,弥彦村麓3036,37.679909,138.826385
377,堤内科医院,弥彦村大字矢作7395-1,37.690796,138.857483
378,本間医院弥彦診療所,弥彦村大字弥彦1043-59,37.701176,138.830688
379,弥彦競輪場医務室,弥彦村大字弥彦2621弥彦競輪場内,37.711849,138.819626
380,やひこの里診療所,長岡市大字麓6958,37.446533,138.851486
381,弥彦村保健センター,長岡市大字麓3047,37.446533,138.851486
382,アイ内科クリニック,長岡市城内町1丁目611-1 CoCoLo長岡2階,37.446590,138.853516
383,青柳医院,長岡市四郎丸2-4-12,37.440784,138.855759
384,旭岡木口クリニック,長岡市旭岡2丁目207番地,37.425865,138.856842
385,阿部アイクリニック,長岡市新保1-21-1,37.462837,138.866562
386,市川医院,長岡市山田2-4-13,37.446091,138.838943
387,伊藤皮膚科クリニック,長岡市四郎丸4-6-18,37.443970,138.855972
388,江部医院,長岡市千手3-10-12,37.445431,138.842636
389,王見台診療所,長岡市王番田町2900,37.465542,138.789337
390,おおじま心療クリニック,長岡市緑町1-甲1177-69,37.447514,138.822235
391,太田こどもとアレルギークリニック,長岡市新町1-2-29,37.459911,138.855545
392,大貫内科医院,長岡市大島新町4-121-14,37.445663,138.820450
393,おくがわ小児クリニック,長岡市古正寺1-2838,37.455235,138.821655
394,片桐医院,長岡市上除町西2-54,37.452320,138.778473
395,特別養護老人ホームかつぼ園診療所,長岡市加津保町1695-2,37.475784,138.916733
396,加藤クリニック,長岡市川崎6-1289,37.454861,138.873352
397,加納耳鼻咽喉科医院,長岡市大山2-8-4,37.442101,138.816711
398,かわさき内科クリニック,長岡市川崎2-2477-1,37.452095,138.867813
399,かわじ整形外科,長岡市美沢2丁目55番地1,37.439964,138.866364
400,生協かんだ診療所,長岡市西新町2丁目3番22号,37.465511,138.854843
401,草間医院,長岡市表町4-1-3,37.451588,138.848450
402,窪田医院,長岡市三和1-3-27,37.432728,138.843658
403,特別養護老人ホーム岡南の郷医務室,長岡市渡沢町字早田53,37.365974,138.854782
404,特別養護老人ホームこぶし園診療所,長岡市喜多町2900番地,37.453239,138.805374
405,さいとう医院,長岡市緑町1-38-56,37.450401,138.822281
406,幸町耳鼻咽喉科,長岡市幸町1-4-3,37.436691,138.841675
407,長岡皮フ科・形成外科医院,長岡市学校町1-9-20,37.440941,138.858948
408,笹川眼科,長岡市大島本町5-113,37.445480,138.819229
409,自明堂眼科,長岡市殿町3-2-8,37.446144,138.848694
410,七條胃腸科内科医院,長岡市新保6丁目77番地,37.468151,138.868912
411,長岡健康管理センター,長岡市千秋2-229-1,37.458366,138.828369
412,しなのハートクリニック,長岡市信濃2-6-18,37.450813,138.837814
413,じゅん脳外科内科,長岡市泉2-4-1,37.464409,138.852646
414,特別養護老人ホーム縄文の杜関原医務室,長岡市関原町1丁目字上ﾉ沢1072ｰ1,37.442741,138.768616
415,新保内科医院,長岡市古正寺3-12,37.458504,138.824814
416,医療法人社団杉本医院,長岡市千手3-1-9,37.443325,138.844650
417,鈴木内科医院,長岡市千手1-8-6,37.440052,138.843613
418,セントポーリアウイメンズクリニック,長岡市南七日町2-8,37.441418,138.800995
419,特別養護老人ホーム千秋診療所,長岡市千秋2丁目221番地14,37.459034,138.827637
420,髙木内科クリニック,長岡市緑町1-37-2,37.450565,138.824371
421,高野医院,長岡市台町1-9-6,37.444481,138.854385
422,高橋内科医院,長岡市豊田町7-10,37.429661,138.854935
423,田中医院,長岡市中島7-1-31,37.459259,138.850510
424,田辺医院,長岡市稽古町甲1663甲,37.454460,138.855499
425,こころのクリニックウィズ,長岡市台町2丁目1-16,37.446011,138.855850
426,土田内科循環器科クリニック,長岡市今朝白3-12-29,37.450871,138.859909
427,桐樹園診療所,長岡市西津町字原4668,37.430225,138.799759
428,長尾医院,長岡市福住3-6-21,37.454041,138.858459
429,長岡眼科医院,長岡市今朝白1丁目7番12号,37.446152,138.857803
430,長岡技術科学大学体育保健センター,長岡市上富岡町1603-1,37.424774,138.778793
431,長岡休日・夜間急患診療所,長岡市幸町2-1-1,37.435719,138.839935
432,長岡市健康増進課,長岡市幸町2-1-1,37.435719,138.839935
433,長岡市中越こども急患センター,長岡市幸町2-1-1,37.435719,138.839935
434,長岡市役所医務室,長岡市大手通1丁目4番地10ｱｵｰﾚ長岡1階,37.446819,138.851379
435,ながおか生協診療所,長岡市前田1-6-7,37.436981,138.860474
436,長岡レディースクリニック,長岡市新保2丁目5番43号,37.463577,138.866226
437,新潟県赤十字血液センター長岡出張所,長岡市千秋2丁目1087番1,37.458450,138.826279
438,一般社団法人新潟県労働衛生医学協会附属アクアーレ長岡健康増進センター,長岡市新陽2-5-1 ｱｸｱｰﾚ長岡2階,37.428600,138.753708
439,新潟少年学院医務課診療所,長岡市御山町117-13,37.424042,138.880814
440,新潟県長岡保健所,長岡市沖田3丁目2711番地1,37.446068,138.868011
